mu_x;mu_y;mu_xp;mu_yp;sdmu;seed;game_type;max_resources;resource_variation;cost_of_reproduction;N;init_x;init_y;startup_cost;mortality_prob;dismiss_error;time;x;y;xp;yp;var_x;var_y;var_xp;var_yp;mean_resources;var_resources;mean_resources_single;var_resources_single;mean_resources_paired;var_resources_paired;npaired;nsingle;nmort;file
0.02;0.02;0.02;0.02;0.01;1632376216;0;100;1;2;1000;0.5;0.5;0.5;0.1;0.01;50000;0.345748;0.349313;0.800106;-0.167583;1.50983e-05;1.48834e-05;0.000141244;0.000166775;8.68706;625.204;3.6431;246.576;9.87021;706.65;810;190;97;./data_ipd_20230915_153151642614_28
0.02;0.02;0.02;0.02;0.01;2942743474;0;100;1;2;1000;0.5;0.5;0.1;0.1;0.01;50000;0.337478;0.337941;0.811579;-0.0198112;9.42109e-05;8.56528e-05;7.21286e-05;3.46242e-05;9.17166;642.672;2.94824;177.15;10.7863;750.794;794;206;106;./data_ipd_20230915_153151642614_26
0.02;0.02;0.02;0.02;0.01;2362987411;1;100;1;2;1000;0.5;0.5;0.1;0.1;0.01;50000;0.0553335;0.0539429;0.0334422;-0.204828;0.000104999;6.03015e-05;0.000400209;0.000405651;0.339435;0.0912048;0.331137;0.0972575;0.342055;0.0892648;760;240;98;./data_ipd_20230915_153151642614_27
0.02;0.02;0.02;0.02;0.01;291393290;1;100;1;2;1000;0.5;0.5;0.5;0.1;0.01;50000;0.357127;0.353904;-0.939646;0.109691;7.30759e-06;2.20246e-06;0.000170941;0.00026347;0.121656;0.0418064;0.163064;0.0658316;0.0869475;0.0190257;544;456;100;./data_ipd_20230915_153151642614_29
0.02;0.02;0.02;0.02;0.01;4130423785;1;100;1;2;1000;0.5;0.5;1;0.1;0.01;50000;0.355601;0.351235;-0.806617;-0.119895;7.51673e-06;4.20169e-06;0.000323182;0.000542127;0.11989;0.0415227;0.166653;0.0755681;0.0953677;0.0219216;656;344;99;./data_ipd_20230915_153151642614_31
0.02;0.02;0.02;0.02;0.01;630266973;0;100;1;2;1000;0.5;0.5;1;0.1;0.01;50000;0.365903;0.366252;0.773716;-0.0880729;4.13315e-05;1.16831e-05;0.000109732;7.74665e-05;9.37228;679.161;3.3637;236.708;10.8001;773.681;808;192;100;./data_ipd_20230915_153151642614_30
0.02;0.02;0.02;0.02;0.01;222717298;1;100;1;2;1000;0.5;0.5;0.01;0.1;0.01;50000;0.0673452;0.0686531;0.0288621;-0.00150901;0.000142376;0.000137032;0.000441825;0.000384647;0.434949;0.115908;0.416258;0.0988033;0.449997;0.129171;554;446;110;./data_ipd_20230915_153151642614_33
0.02;0.02;0.02;0.02;0.01;3167935954;0;100;1;2;1000;0.5;0.5;0.01;0.1;0.01;50000;0.504049;0.504087;0.296001;-0.252804;0.0256583;0.0266036;0.349929;0.0403128;29.0349;1822.41;17.8049;1239.97;35.1887;2034.61;646;354;97;./data_ipd_20230915_153151642614_32
0.02;0.02;0.02;0.02;0.01;4101094033;0;100;1;2;1000;0.5;0.5;0.1;0.1;0.01;50000;0.336456;0.335566;0.821259;-0.0798196;3.58841e-05;2.19188e-05;0.000159998;0.000330271;10.0007;707.699;6.2975;481.071;10.8357;755.011;816;184;98;./data_ipd_20230915_153151642614_34
0.02;0.02;0.02;0.02;0.01;1182944242;1;100;1;2;1000;0.5;0.5;0.1;0.1;0.01;50000;0.061121;0.0590494;0.0314508;-0.106453;7.26684e-05;5.06413e-05;0.000331745;0.000336001;0.367408;0.0885709;0.384812;0.096748;0.362893;0.0863504;794;206;89;./data_ipd_20230915_153151642614_35
0.02;0.02;0.02;0.02;0.01;1860652968;1;100;1;2;1000;0.5;0.5;0.5;0.1;0.01;50000;0.349834;0.343878;-0.891408;-0.0447637;9.05979e-06;7.11455e-06;0.000340128;5.75073e-05;0.132177;0.0388198;0.164622;0.0547113;0.11486;0.0294761;652;348;85;./data_ipd_20230915_153151642614_37
0.02;0.02;0.02;0.02;0.01;1759860350;0;100;1;2;1000;0.5;0.5;1;0.1;0.01;50000;0.276908;0.276953;0.891642;-0.0183426;8.00948e-06;2.03359e-07;6.66334e-05;8.10532e-05;9.16695;679.613;4.58911;348.57;10.1992;748.469;816;184;89;./data_ipd_20230915_153151642614_38
0.02;0.02;0.02;0.02;0.01;2564928812;0;100;1;2;1000;0.5;0.5;0.5;0.1;0.01;50000;0.284748;0.286051;0.925907;-0.057523;5.49093e-05;2.94739e-05;0.00031236;9.34194e-05;9.16804;668.488;7.0219;549.679;9.7113;697.102;798;202;104;./data_ipd_20230915_153151642614_36
0.02;0.02;0.02;0.02;0.01;3929901203;1;100;1;2;1000;0.5;0.5;1;0.1;0.01;50000;0.354593;0.349409;-0.466378;-0.0078257;8.59603e-06;2.68391e-06;0.00028924;0.000255003;0.114168;0.0385203;0.199202;0.0871411;0.071905;0.00897557;668;332;109;./data_ipd_20230915_153151642614_39
